3,2,66.67,10.81
3,2,66.67,14.02
3,3,100.00,11.20
3,8,266.67,37.40
3,3,100.00,15.43
3,2,66.67,14.01
3,2,66.67,11.04
3,1,33.33,19.80
3,0,0.00,17.47
3,1,33.33,18.50
3,2,66.67,10.58
3,3,100.00,11.12
3,2,66.67,9.25
3,2,66.67,10.12
3,2,66.67,8.05
3,2,66.67,13.27
3,2,66.67,15.39
3,3,100.00,11.86
3,3,100.00,15.15
3,2,66.67,8.59
3,3,100.00,13.46
3,3,100.00,10.64
3,2,66.67,14.80
3,3,100.00,14.35
3,3,100.00,15.84
3,3,100.00,17.10
3,1,33.33,12.07
3,1,33.33,22.75
3,0,0.00,16.13
3,0,0.00,19.69
3,2,66.67,18.96
3,2,66.67,9.90
3,1,33.33,6.67
3,3,100.00,16.97
3,3,100.00,18.24
3,2,66.67,8.84
3,2,66.67,21.01
3,1,33.33,28.05
3,3,100.00,20.30
